bio_id,followers
A000055,31378
A000148,10544
A000360,145880
A000367,492939
A000369,18246
A000370,31111
A000371,20763
A000372,29573
A000374,33455
A000375,21399
A000376,62180
A000377,23368
A000378,32408
B000213,25887
B000490,25677
B000574,75986
B000575,132895
B000668,3919
B000740,17523
B000755,61669
B000825,714128
B000944,592517
B001135,176682
B001223,365330
B001224,878524
B001227,13749
B001230,190307
B001236,108060
B001243,368366
B001248,33277
B001250,1268
B001251,22664
B001257,33585
B001260,31055
B001261,154626
B001267,358486
B001269,36592
B001270,202201
B001273,46495
B001274,105467
B001275,25469
B001277,718706
B001278,34420
B001281,63731
B001282,32354
B001283,20548
B001284,27442
B001285,25026
B001286,48167
B001287,48380
B001288,5141654
B001289,55714
B001290,15323
B001291,24443
B001292,113542
B001293,5082
B001294,12244
B001295,16018
B001296,76842
B001297,63094
B001298,23476
B001299,62483
B001300,36112
B001301,12581
B001302,310224
B001303,37417
B001304,28599
B001305,39857
B001306,13237
B001307,8253
B001308,27232
B001309,66523
B001310,47268
B001311,23023
B001312,79769
C000059,25300
C000127,265534
C000141,264928
C000174,113582
C000266,37975
C000537,164312
C000567,70647
C000714,45655
C000754,39439
C000880,122784
C000984,538246
C001035,575533
C001037,9575
C001038,35904
C001039,30573
C001047,90805
C001049,11944
C001051,27185
C001053,27677
C001054,4633
C001055,7609
C001056,318283
C001059,27795
C001061,51602
C001062,25678
C001063,28426
C001066,26216
C001067,88763
C001068,84645
C001069,28326
C001070,470620
C001071,397569
C001072,57037
C001075,87024
C001076,586010
C001077,42032
C001078,80393
C001080,80882
C001084,190377
C001087,32813
C001088,206440
C001090,19858
C001091,349334
C001093,598333
C001094,19975
C001095,554066
C001096,38718
C001097,25775
C001098,6511666
C001101,102678
C001103,38606
C001104,321047
C001105,27529
C001106,5271
C001107,32908
C001108,30894
C001109,240103
C001110,27649
C001111,53631
C001112,16653
C001113,86290
C001114,15951
C001115,12880
C001117,59530
C001118,21453
C001119,51266
C001120,1861789
C001121,169636
C001122,69839
C001123,27832
C001124,17151
D000032,87991
D000096,17774
D000191,40807
D000197,71603
D000216,57534
D000399,42786
D000482,22888
D000533,5708
D000563,760907
D000598,23865
D000600,66722
D000604,19952
D000607,118308
D000610,85736
D000612,3172
D000614,51358
D000615,72109
D000616,22992
D000617,34347
D000618,74868
D000619,29222
D000620,57749
D000621,823133
D000622,836021
D000623,25335
D000624,116927
D000625,5869
D000626,31777
D000627,298982
D000628,11264
D000629,207543
D000630,52186
D000631,88518
E000179,55494
E000215,52399
E000285,107393
E000288,395812
E000293,23585
E000294,31857
E000295,176822
E000296,24346
E000297,38137
E000298,9437
E000299,120245
F000062,1515073
F000246,10342
F000444,680963
F000446,10158
F000449,24451
F000450,32487
F000454,50097
F000455,88011
F000457,1329910
F000459,25555
F000460,18166
F000461,25349
F000462,35708
F000463,104955
F000464,9233
F000465,12021
F000466,21087
F000467,42027
F000468,44134
F000469,11312
F000470,14291
F000471,10750
F000472,4630
G000061,53314
G000289,135464
G000359,2076797
G000377,25391
G000386,717126
G000535,79087
G000546,15265
G000551,46205
G000552,416776
G000553,82468
G000555,1639069
G000558,25143
G000559,35847
G000560,27169
G000562,180344
G000563,40776
G000565,269801
G000566,1237673
G000568,33946
G000571,1374141
G000574,192034
G000576,13885
G000577,19694
G000578,2309658
G000579,34302
G000580,11752
G000581,8656
G000582,141726
G000583,21704
G000584,13766
G000585,55995
G000586,34404
G000587,91615
G000588,30719
G000589,84931
G000590,63697
G000591,10033
G000592,21967
G000593,12679
G000594,10921
G000595,5032
G000596,605705
G000597,4437
H000273,233800
H000324,31577
H000338,205060
H000601,30989
H000874,175184
H001036,23996
H001038,27248
H001041,130601
H001042,510716
H001045,27706
H001046,211422
H001047,113637
H001050,16930
H001052,20033
H001053,32216
H001056,76128
H001058,27969
H001059,23402
H001061,115645
H001064,41249
H001065,20146
H001066,27472
H001067,26133
H001068,58081
H001069,138268
H001071,102914
H001072,23881
H001073,77541
H001074,13077
H001075,27931747
H001076,170427
H001077,32152
H001078,20296
H001079,42385
H001080,420908
H001081,90493
H001082,10119
H001083,28222
H001084,14384
H001085,50642
H001086,14468
H001087,280398
H001088,11182
H001089,665567
H001090,36007
H001091,21461
H001092,23749
I000024,95480
I000055,75259
I000056,321297
J000020,5728
J000032,105333
J000126,37895
J000174,11700
J000255,22440
J000288,56303
J000289,2018364
J000292,47031
J000293,264693
J000294,433832
J000295,25101
J000298,768124
J000299,84597
J000300,317325
J000301,15073
J000302,14971
J000304,109539
J000305,29085
J000306,139254
K000009,27491
K000188,23331
K000210,41247
K000362,119759
K000367,1755906
K000368,19971
K000375,24848
K000376,33201
K000377,590006
K000378,457351
K000379,921262
K000380,59375
K000381,32016
K000382,30102
K000383,242113
K000384,1004494
K000385,41112
K000386,27595
K000387,6525
K000388,12331
K000389,393146
K000390,20445
K000391,136779
K000392,14171
K000393,201677
K000394,125030
K000395,14644
K000396,99087
K000397,36875
L000174,229043
L000263,25404
L000266,3611
L000273,9335
L000287,1235133
L000397,80226
L000480,40193
L000491,23171
L000551,401504
L000554,16493
L000557,31132
L000559,29857
L000560,25453
L000562,31715
L000563,21680
L000564,34438
L000565,13129
L000566,40868
L000567,16672
L000569,17701
L000570,42652
L000571,51653
L000573,25614
L000575,121144
L000576,37795
L000577,643288
L000578,24796
L000579,37838
L000580,44102
L000581,37364
L000582,1790214
L000583,31498
L000584,104537
L000585,19583
L000586,16952
L000587,23781
L000588,167216
L000589,124567
L000590,35585
L000591,66646
L000592,33449
L000593,130406
L000594,336177
M000087,100046
M000133,487227
M000194,99039
M000303,3012152
M000312,103170
M000317,64513
M000355,2326463
M000639,213103
M000687,6130
M000871,3920
M000934,118503
M001111,488308
M001135,10315
M001136,8019
M001137,44743
M001143,41082
M001153,325776
M001156,31731
M001157,42879
M001158,26140
M001159,53364
M001160,48219
M001163,44274
M001165,1322116
M001166,33448
M001169,1042924
M001170,627581
M001176,616107
M001177,29522
M001180,33039
M001181,1984
M001183,266742
M001184,175238
M001185,145165
M001186,72613
M001187,802003
M001188,87754
M001190,36562
M001193,15469
M001194,16341
M001195,21275
M001196,160229
M001197,184225
M001198,19039
M001199,80690
M001200,20803
M001201,38959
M001202,43734
M001203,52553
M001204,19101
M001205,12562
M001206,11320
M001207,55806
M001208,195101
M001209,36876
M001210,19950
M001211,10526
M001212,2503
M001213,5502
M001214,2292
M001215,17401
N000002,474340
N000015,39064
N000026,12566
N000032,349858
N000127,12003
N000147,61471
N000179,41022
N000181,1431594
N000184,392168
N000188,15227
N000189,23588
N000190,20358
N000191,267998
N000192,97279
O000019,7138
O000086,287464
O000168,25628
O000170,1978725
O000171,26875
O000172,13386489
O000173,4224387
O000174,1241449
P000034,47559
P000048,9344
P000096,124218
P000145,120925
P000197,7871245
P000258,5273
P000449,182963
P000523,36650
P000588,4238
P000592,32389
P000593,40521
P000594,21676
P000595,181388
P000597,31617
P000598,120083
P000599,33412
P000601,20769
P000603,3218485
P000604,28046
P000605,36769
P000606,16308
P000607,131265
P000608,43111
P000609,24246
P000610,279322
P000611,11595
P000612,208978
P000613,15764
P000614,28176
P000615,19864
P000616,58371
P000617,1624595
P000618,1511189
Q000023,52356
R000103,20102
R000122,106867
R000305,12130
R000307,93592
R000395,20390
R000409,37881
R000435,139193
R000486,34319
R000487,28562
R000515,37904
R000570,4366705
R000575,35106
R000576,18288
R000577,215356
R000578,323
R000580,28333
R000582,22230
R000583,23352
R000584,108502
R000585,24672
R000586,41354
R000588,69509
R000591,39534
R000592,24812
R000593,18833
R000595,4428347
R000597,24340
R000598,10803
R000599,29101
R000600,3575
R000602,40452
R000603,17925
R000604,9752
R000605,33886
R000606,347898
R000607,13854
R000608,78286
R000609,15094
R000610,28834
R000611,42172
R000612,14888
R000613,59243
R000614,76994
R000615,2338970
R000616,93820
S000033,27368335
S000051,37234
S000148,3263673
S000168,101113
S000185,48043
S000244,12906
S000248,34031
S000250,33825
S000320,94734
S000344,55580
S000364,31716
S000480,23927
S000510,42578
S000522,36315
S000583,25404
S000770,197589
S000929,14835
S001135,21747
S001145,57382
S001148,20945
S001150,3494172
S001156,49048
S001157,29171
S001159,10255
S001165,29812
S001168,31799
S001170,13068
S001172,14993
S001175,202394
S001176,543101
S001177,1829
S001180,32105
S001181,140720
S001183,37352
S001184,572946
S001185,53931
S001187,41109
S001189,28769
S001190,36279
S001191,298766
S001192,42973
S001193,1362146
S001194,430120
S001195,48632
S001196,618673
S001197,469601
S001198,62144
S001199,14378
S001200,26083
S001201,20445
S001202,13628
S001203,170769
S001204,697
S001205,68407
S001206,58427
S001207,111596
S001208,123135
S001209,118777
S001210,10734
S001211,76746
S001212,15427
S001213,16749
S001214,30971
S001215,68451
S001216,22649
S001217,502092
T000165,12529
T000193,24722
T000238,18032
T000250,139526
T000278,87363
T000460,38192
T000461,178947
T000462,15708
T000463,43309
T000464,146977
T000467,23617
T000468,50547
T000469,29456
T000470,30520
T000472,61346
T000474,55080
T000475,13731
T000476,168245
T000477,18690
T000478,31526
T000479,17494
T000480,11476
T000481,1943911
T000482,35768
T000483,21605
T000484,32833
T000486,80591
U000031,39858
U000039,185955
U000040,247111
V000081,82975
V000108,15960
V000128,196095
V000129,29288
V000130,26533
V000131,38699
V000132,19874
V000133,31430
V000134,27381
W000187,1696532
W000437,118835
W000779,534094
W000788,55643
W000790,1082254
W000791,33885
W000795,39742
W000797,376333
W000798,21715
W000799,26369
W000800,40143
W000802,476661
W000804,32049
W000805,505990
W000806,28856
W000808,75171
W000809,26896
W000810,18113
W000812,33104
W000813,28439
W000814,22919
W000815,35663
W000816,20347
W000817,12687009
W000819,43235
W000821,16831
W000822,51879
W000823,42971
W000824,11985
W000825,59734
W000826,18761
W000827,12420
Y000033,25102
Y000062,50942
Y000064,74739
Y000065,53533
Y000066,17374
Z000017,353615
